image,label
WLFIUSDT_5m/WLFIUSDT_5m_000.png,-1
WLFIUSDT_5m/WLFIUSDT_5m_001.png,1
WLFIUSDT_5m/WLFIUSDT_5m_002.png,-1
WLFIUSDT_5m/WLFIUSDT_5m_003.png,1
WLFIUSDT_5m/WLFIUSDT_5m_004.png,0
WLFIUSDT_5m/WLFIUSDT_5m_005.png,-1
WLFIUSDT_5m/WLFIUSDT_5m_006.png,1
WLFIUSDT_5m/WLFIUSDT_5m_007.png,1
WLFIUSDT_5m/WLFIUSDT_5m_008.png,-1
WLFIUSDT_5m/WLFIUSDT_5m_009.png,1
WLFIUSDT_5m/WLFIUSDT_5m_010.png,1
WLFIUSDT_5m/WLFIUSDT_5m_011.png,0
WLFIUSDT_5m/WLFIUSDT_5m_012.png,0
WLFIUSDT_5m/WLFIUSDT_5m_013.png,0
WLFIUSDT_5m/WLFIUSDT_5m_014.png,1
WLFIUSDT_5m/WLFIUSDT_5m_015.png,-1
WLFIUSDT_5m/WLFIUSDT_5m_016.png,-1
WLFIUSDT_5m/WLFIUSDT_5m_017.png,1
WLFIUSDT_5m/WLFIUSDT_5m_018.png,-1
WLFIUSDT_5m/WLFIUSDT_5m_019.png,1
WLFIUSDT_5m/WLFIUSDT_5m_020.png,-1
WLFIUSDT_5m/WLFIUSDT_5m_021.png,-1
WLFIUSDT_5m/WLFIUSDT_5m_022.png,0
WLFIUSDT_5m/WLFIUSDT_5m_023.png,1
WLFIUSDT_15m/WLFIUSDT_15m_000.png,-1
WLFIUSDT_15m/WLFIUSDT_15m_001.png,1
WLFIUSDT_15m/WLFIUSDT_15m_002.png,1
WLFIUSDT_15m/WLFIUSDT_15m_003.png,-1
WLFIUSDT_15m/WLFIUSDT_15m_004.png,0
WLFIUSDT_15m/WLFIUSDT_15m_005.png,1
WLFIUSDT_15m/WLFIUSDT_15m_006.png,1
WLFIUSDT_15m/WLFIUSDT_15m_007.png,-1
WLFIUSDT_15m/WLFIUSDT_15m_008.png,-1
WLFIUSDT_15m/WLFIUSDT_15m_009.png,-1
WLFIUSDT_15m/WLFIUSDT_15m_010.png,-1
WLFIUSDT_15m/WLFIUSDT_15m_011.png,1
WLFIUSDT_15m/WLFIUSDT_15m_012.png,0
WLFIUSDT_15m/WLFIUSDT_15m_013.png,1
WLFIUSDT_15m/WLFIUSDT_15m_014.png,1
WLFIUSDT_15m/WLFIUSDT_15m_015.png,1
WLFIUSDT_15m/WLFIUSDT_15m_016.png,1
WLFIUSDT_15m/WLFIUSDT_15m_017.png,1
WLFIUSDT_15m/WLFIUSDT_15m_018.png,-1
WLFIUSDT_15m/WLFIUSDT_15m_019.png,1
WLFIUSDT_15m/WLFIUSDT_15m_020.png,1
WLFIUSDT_15m/WLFIUSDT_15m_021.png,-1
WLFIUSDT_15m/WLFIUSDT_15m_022.png,-1
WLFIUSDT_15m/WLFIUSDT_15m_023.png,0
WLFIUSDT_1h/WLFIUSDT_1h_000.png,-1
WLFIUSDT_1h/WLFIUSDT_1h_001.png,-1
WLFIUSDT_1h/WLFIUSDT_1h_002.png,1
WLFIUSDT_1h/WLFIUSDT_1h_003.png,-1
WLFIUSDT_1h/WLFIUSDT_1h_004.png,-1
WLFIUSDT_1h/WLFIUSDT_1h_005.png,-1
WLFIUSDT_1h/WLFIUSDT_1h_006.png,1
WLFIUSDT_1h/WLFIUSDT_1h_007.png,-1
WLFIUSDT_1h/WLFIUSDT_1h_008.png,1
WLFIUSDT_1h/WLFIUSDT_1h_009.png,-1
WLFIUSDT_1h/WLFIUSDT_1h_010.png,-1
WLFIUSDT_1h/WLFIUSDT_1h_011.png,1
WLFIUSDT_1h/WLFIUSDT_1h_012.png,1
WLFIUSDT_1h/WLFIUSDT_1h_013.png,-1
WLFIUSDT_1h/WLFIUSDT_1h_014.png,-1
WLFIUSDT_1h/WLFIUSDT_1h_015.png,1
WLFIUSDT_1h/WLFIUSDT_1h_016.png,-1
WLFIUSDT_1h/WLFIUSDT_1h_017.png,1
WLFIUSDT_1h/WLFIUSDT_1h_018.png,1
WLFIUSDT_1h/WLFIUSDT_1h_019.png,1
WLFIUSDT_1h/WLFIUSDT_1h_020.png,1
WLFIUSDT_1h/WLFIUSDT_1h_021.png,1
WLFIUSDT_1h/WLFIUSDT_1h_022.png,-1
WLFIUSDT_1h/WLFIUSDT_1h_023.png,1
WLFIUSDT_4h/WLFIUSDT_4h_000.png,-1
